Timestamp,What is your age?,Are you?,Have you used online dating app(s) before?,How often do you use online dating app(s)?,What are you looking for in online dating app(s)?,How long have you used online dating app(s)?,Have you experienced ghosting or being ghosted?,What's your overall experience using online dating app(s)?,What's the main reason you haven't used any dating app?,Do you intend to use any online dating app?,Meeting_Frequency,Dates_Per_Match,Preferred_Meeting_Location,Match_Punctuality,Comfort_Level,Would_Meet_Again,Profile_Review_Time,Reflect_Before_Swiping,No_Show_Experience,Open_To_QR_Code,Responsible_Behavior_Promotion,Use_Conscious_Module
2023-01-01,30-40,Female,Yes,Occasionally,Short-term or casual relationship,1-6 months,,,,No,Occasionally,2-3,Private,Yes,No,No,Seconds,No,Yes,Yes,Yes,No
2023-01-01,40-50,Male,No,Frequently,Short-term or casual relationship,,Ghosting,Negative,Have been in a relationship since I was a minor,,Rarely,1,Depends,Yes,Somewhat,Yes,Seconds,Yes,No,Yes,No,Yes
2023-01-01,25-30,Male,No,,Long-term relationship,more than 1 year,,,Not interested,,Frequently,More than 3,Public,No,Somewhat,Maybe,Seconds,Yes,No,Yes,Neutral,No
2023-01-01,40-50,Male,Yes,Rarely,I don't know yet,more than 1 year,Both,Very negative,,No,Occasionally,2-3,Private,Yes,No,Maybe,Minutes,No,No,No,No,No
2023-01-01,40-50,Female,Yes,Occasionally,,1-6 months,Being ghosted,Negative,,No,Occasionally,More than 3,Private,Yes,Somewhat,No,Seconds,No,No,Yes,Neutral,No
2023-01-01,40-50,Male,Yes,,I don't know yet,more than 1 year,,Very negative,,,Occasionally,2-3,Depends,Yes,Somewhat,Yes,Seconds,Yes,No,Yes,Neutral,Yes
2023-01-01,30-40,Female,No,Occasionally,I don't know yet,,,,,No,Frequently,1,Depends,No,No,Yes,Seconds,No,No,No,Neutral,No
2023-01-01,30-40,Female,Yes,Frequently,Short-term or casual relationship,1-6 months,Neither,,Not interested,No,Occasionally,More than 3,Private,Yes,No,Yes,Minutes,No,No,No,Neutral,Yes
2023-01-01,25-30,Female,Yes,Rarely,Long-term relationship,,,Negative,Prefer real connection over online dating,No,Occasionally,1,Public,Yes,Somewhat,Maybe,Seconds,Yes,Yes,No,Yes,No
2023-01-01,40-50,Female,No,,Short-term or casual relationship,,,Negative,Prefer real connection over online dating,,Frequently,1,Public,No,Somewhat,No,Minutes,No,Yes,No,Neutral,No
2023-01-01,25-30,Male,Yes,,,more than 1 year,,Very negative,Not interested,,Frequently,2-3,Depends,Yes,Yes,Yes,Seconds,No,No,Yes,Yes,No
2023-01-01,30-40,Female,No,Frequently,,more than 1 year,Both,Negative,,No,Frequently,1,Depends,Yes,Somewhat,No,Minutes,No,No,No,No,Yes
2023-01-01,40-50,Female,Yes,Frequently,I don't know yet,more than 1 year,Both,Positive,Not interested,,Rarely,2-3,Public,No,No,No,Seconds,Yes,No,No,No,Yes
2023-01-01,30-40,Male,No,,,1-6 months,,Negative,Prefer real connection over online dating,No,Rarely,1,Private,Yes,Yes,Yes,Minutes,Yes,No,No,Neutral,No
2023-01-01,30-40,Female,Yes,Rarely,,more than 1 year,Being ghosted,Positive,,No,Rarely,1,Depends,No,Somewhat,Yes,Seconds,No,Yes,Yes,Yes,Yes
2023-01-01,25-30,Male,Yes,Rarely,,1-6 months,Neither,Negative,Not interested,,Rarely,More than 3,Depends,No,No,No,Seconds,Yes,Yes,Yes,Yes,Yes
2023-01-01,25-30,Female,No,Rarely,Short-term or casual relationship,more than 1 year,Being ghosted,Negative,Prefer real connection over online dating,No,Rarely,2-3,Private,No,No,Yes,Minutes,Yes,No,Yes,No,No
2023-01-01,40-50,Male,Yes,Frequently,,,Being ghosted,Positive,,No,Occasionally,1,Public,No,No,Maybe,Minutes,No,Yes,Yes,Yes,No
2023-01-01,30-40,Male,No,Occasionally,Long-term relationship,more than 1 year,Neither,Positive,,,Occasionally,2-3,Private,No,Yes,Yes,Minutes,No,No,No,Neutral,Yes
2023-01-01,25-30,Male,Yes,Frequently,Long-term relationship,more than 1 year,Being ghosted,Very negative,,,Occasionally,1,Public,Yes,No,Maybe,Minutes,No,No,No,Yes,Yes
2023-01-01,25-30,Male,No,,I don't know yet,more than 1 year,Neither,Positive,,No,Frequently,1,Private,Yes,Somewhat,Maybe,Seconds,No,Yes,No,Yes,No
2023-01-01,25-30,Female,No,,Long-term relationship,1-6 months,Being ghosted,Negative,Prefer real connection over online dating,,Occasionally,1,Depends,No,Somewhat,No,Seconds,Yes,Yes,Yes,Neutral,No
2023-01-01,40-50,Male,No,Occasionally,Long-term relationship,1-6 months,Neither,Positive,Prefer real connection over online dating,No,Occasionally,2-3,Public,No,No,Yes,Seconds,Yes,No,Yes,Neutral,Yes
2023-01-01,30-40,Female,Yes,Rarely,,,Being ghosted,Negative,Prefer real connection over online dating,,Rarely,1,Private,No,No,Maybe,Seconds,Yes,No,Yes,No,Yes
2023-01-01,30-40,Female,No,Frequently,,,,,Have been in a relationship since I was a minor,No,Frequently,1,Public,Yes,No,No,Minutes,Yes,Yes,Yes,Yes,Yes
2023-01-01,30-40,Male,Yes,Rarely,Long-term relationship,more than 1 year,Neither,Negative,,,Occasionally,More than 3,Private,No,Somewhat,Maybe,Minutes,No,Yes,No,No,Yes
2023-01-01,40-50,Male,Yes,Rarely,I don't know yet,,,Very negative,,No,Occasionally,More than 3,Depends,No,No,Maybe,Seconds,No,No,Yes,Neutral,Yes
2023-01-01,30-40,Male,No,Rarely,Short-term or casual relationship,more than 1 year,Ghosting,,Not interested,,Rarely,More than 3,Public,No,No,Maybe,Seconds,No,Yes,Yes,Neutral,Yes
2023-01-01,30-40,Female,No,Frequently,Short-term or casual relationship,more than 1 year,,Very negative,Not interested,,Occasionally,1,Private,No,Somewhat,No,Minutes,No,No,Yes,No,No
2023-01-01,40-50,Male,Yes,Frequently,Long-term relationship,1-6 months,,Positive,,No,Rarely,1,Public,No,No,Maybe,Seconds,No,No,Yes,Neutral,Yes
2023-01-01,30-40,Male,No,Rarely,Long-term relationship,more than 1 year,,Negative,,No,Rarely,More than 3,Depends,No,Yes,No,Seconds,Yes,No,Yes,Neutral,Yes
2023-01-01,40-50,Male,Yes,Occasionally,Long-term relationship,1-6 months,Both,,Prefer real connection over online dating,No,Frequently,1,Public,Yes,Somewhat,No,Seconds,No,Yes,No,No,Yes
2023-01-01,40-50,Female,No,Occasionally,I don't know yet,1-6 months,Both,Very negative,Have been in a relationship since I was a minor,No,Occasionally,More than 3,Private,No,Somewhat,No,Minutes,Yes,Yes,Yes,No,Yes
2023-01-01,40-50,Female,Yes,Occasionally,I don't know yet,more than 1 year,Both,Positive,Not interested,No,Rarely,2-3,Public,Yes,Yes,Yes,Seconds,No,Yes,Yes,Yes,Yes
2023-01-01,25-30,Male,No,,Long-term relationship,more than 1 year,,Very negative,,,Occasionally,More than 3,Private,Yes,Somewhat,Maybe,Minutes,No,No,No,Neutral,No
2023-01-01,40-50,Male,Yes,Frequently,Short-term or casual relationship,1-6 months,Ghosting,,,,Rarely,More than 3,Public,Yes,No,Maybe,Minutes,No,No,No,Neutral,Yes
2023-01-01,25-30,Male,Yes,Frequently,,1-6 months,,Negative,,No,Occasionally,1,Depends,No,Somewhat,No,Seconds,No,Yes,No,Neutral,No
2023-01-01,30-40,Male,No,,I don't know yet,,Both,,,,Frequently,1,Public,Yes,Yes,Maybe,Seconds,No,No,Yes,Neutral,Yes
2023-01-01,40-50,Female,No,Frequently,,1-6 months,Neither,Very negative,,No,Rarely,More than 3,Depends,Yes,Somewhat,Maybe,Minutes,Yes,No,Yes,No,Yes
2023-01-01,40-50,Male,No,Rarely,Long-term relationship,1-6 months,Both,Positive,Have been in a relationship since I was a minor,,Rarely,1,Depends,No,Yes,Maybe,Seconds,Yes,Yes,Yes,Neutral,Yes
2023-01-01,40-50,Male,Yes,Rarely,Short-term or casual relationship,,Being ghosted,Negative,Prefer real connection over online dating,,Occasionally,More than 3,Public,No,Somewhat,Yes,Seconds,Yes,Yes,No,Neutral,Yes
2023-01-01,25-30,Male,Yes,Occasionally,I don't know yet,1-6 months,Both,,,,Frequently,1,Public,Yes,Somewhat,Maybe,Seconds,Yes,No,No,Yes,No
2023-01-01,25-30,Female,Yes,Occasionally,Short-term or casual relationship,,,Positive,,,Rarely,1,Public,Yes,No,Maybe,Seconds,Yes,Yes,No,Yes,No
2023-01-01,40-50,Female,No,,Long-term relationship,more than 1 year,,Very negative,,No,Rarely,More than 3,Private,No,No,Maybe,Seconds,Yes,No,No,Neutral,Yes
2023-01-01,25-30,Male,Yes,Occasionally,I don't know yet,more than 1 year,Being ghosted,Negative,,,Rarely,More than 3,Depends,Yes,No,Maybe,Seconds,Yes,No,No,Yes,Yes
2023-01-01,40-50,Male,Yes,,I don't know yet,1-6 months,,Very negative,,No,Rarely,1,Private,No,Somewhat,No,Minutes,No,Yes,No,Neutral,Yes
2023-01-01,25-30,Male,Yes,Frequently,,more than 1 year,,Positive,,No,Rarely,2-3,Private,Yes,Somewhat,Maybe,Seconds,Yes,No,Yes,Neutral,Yes
2023-01-01,40-50,Male,Yes,Rarely,Long-term relationship,,Neither,,,,Occasionally,1,Private,Yes,Yes,Maybe,Minutes,No,No,No,Yes,Yes
2023-01-01,40-50,Male,Yes,Occasionally,I don't know yet,,Ghosting,Very negative,,No,Occasionally,1,Depends,No,No,No,Minutes,No,Yes,Yes,No,No
2023-01-01,40-50,Male,No,,I don't know yet,more than 1 year,Neither,Negative,Not interested,No,Occasionally,1,Depends,No,No,Maybe,Minutes,No,No,Yes,Yes,Yes
2023-01-01,40-50,Female,No,,Long-term relationship,more than 1 year,,Negative,,No,Frequently,1,Public,No,No,No,Minutes,No,Yes,Yes,Neutral,No
2023-01-01,40-50,Female,Yes,Rarely,I don't know yet,,Ghosting,Very negative,,,Frequently,1,Public,No,Somewhat,Yes,Minutes,Yes,No,No,Yes,Yes
2023-01-01,30-40,Male,Yes,,Long-term relationship,1-6 months,,Negative,,No,Frequently,1,Public,Yes,Somewhat,No,Minutes,No,Yes,Yes,Neutral,No
2023-01-01,30-40,Female,Yes,,Short-term or casual relationship,1-6 months,Being ghosted,Negative,Not interested,No,Frequently,1,Depends,Yes,Somewhat,No,Seconds,No,No,Yes,Yes,Yes
2023-01-01,25-30,Male,Yes,,Short-term or casual relationship,1-6 months,Being ghosted,Very negative,Prefer real connection over online dating,,Frequently,More than 3,Depends,Yes,No,Yes,Minutes,Yes,Yes,No,Neutral,Yes
2023-01-01,30-40,Male,No,Occasionally,Long-term relationship,,Ghosting,Negative,,No,Occasionally,1,Private,No,Yes,Maybe,Minutes,No,Yes,Yes,Yes,No
2023-01-01,40-50,Female,No,Occasionally,I don't know yet,more than 1 year,Both,,Prefer real connection over online dating,No,Rarely,2-3,Private,No,No,Maybe,Minutes,No,No,Yes,No,Yes
2023-01-01,30-40,Female,Yes,Rarely,Short-term or casual relationship,,Ghosting,Negative,,No,Occasionally,1,Public,Yes,No,Yes,Seconds,Yes,Yes,Yes,No,No
2023-01-01,30-40,Female,Yes,Rarely,,more than 1 year,,Negative,,,Occasionally,2-3,Private,No,Somewhat,Maybe,Seconds,Yes,Yes,Yes,Yes,Yes
2023-01-01,25-30,Female,Yes,Rarely,Long-term relationship,more than 1 year,Being ghosted,Negative,Prefer real connection over online dating,,Occasionally,1,Depends,No,No,No,Minutes,No,Yes,No,Yes,Yes
2023-01-01,40-50,Female,No,Rarely,Long-term relationship,more than 1 year,Being ghosted,Negative,Have been in a relationship since I was a minor,,Occasionally,More than 3,Public,Yes,Somewhat,Yes,Seconds,Yes,Yes,No,Yes,Yes
2023-01-01,30-40,Female,No,Rarely,,1-6 months,Ghosting,Negative,,No,Occasionally,1,Public,No,No,Yes,Seconds,Yes,No,No,Yes,Yes
2023-01-01,25-30,Female,No,Occasionally,I don't know yet,1-6 months,,,Have been in a relationship since I was a minor,,Rarely,1,Public,No,Somewhat,No,Seconds,Yes,Yes,No,No,Yes
2023-01-01,25-30,Female,Yes,Rarely,I don't know yet,more than 1 year,Ghosting,,,No,Frequently,1,Public,No,Yes,Maybe,Seconds,No,No,Yes,Neutral,Yes
2023-01-01,30-40,Female,No,Occasionally,Long-term relationship,more than 1 year,Both,Very negative,,No,Rarely,1,Public,Yes,Somewhat,Yes,Seconds,No,No,No,No,No
2023-01-01,40-50,Male,No,Rarely,I don't know yet,,Ghosting,Negative,Have been in a relationship since I was a minor,No,Frequently,2-3,Private,Yes,No,No,Seconds,Yes,No,Yes,No,Yes
2023-01-01,40-50,Male,Yes,Rarely,,more than 1 year,,,Prefer real connection over online dating,No,Occasionally,1,Public,Yes,Somewhat,Maybe,Seconds,Yes,No,No,Yes,Yes
2023-01-01,40-50,Female,Yes,Frequently,Short-term or casual relationship,,Being ghosted,Positive,,No,Frequently,1,Private,No,No,Yes,Minutes,Yes,Yes,No,Yes,Yes
2023-01-01,40-50,Female,Yes,Rarely,I don't know yet,more than 1 year,Ghosting,Positive,Prefer real connection over online dating,,Frequently,More than 3,Private,Yes,No,Yes,Seconds,Yes,No,No,Yes,No
2023-01-01,40-50,Female,No,,I don't know yet,1-6 months,,Very negative,Not interested,,Frequently,More than 3,Public,No,Yes,Yes,Minutes,Yes,No,No,Yes,No
2023-01-01,25-30,Male,Yes,Occasionally,I don't know yet,,,Negative,Prefer real connection over online dating,,Occasionally,2-3,Depends,Yes,No,Yes,Seconds,No,No,No,No,No
2023-01-01,30-40,Female,No,Frequently,Long-term relationship,1-6 months,,Very negative,Not interested,,Rarely,1,Private,No,Somewhat,Maybe,Seconds,No,Yes,No,Yes,Yes
2023-01-01,30-40,Female,No,Occasionally,I don't know yet,1-6 months,Being ghosted,Negative,Have been in a relationship since I was a minor,No,Frequently,2-3,Public,Yes,Yes,No,Seconds,Yes,Yes,No,No,No
2023-01-01,25-30,Female,No,Frequently,Long-term relationship,1-6 months,Being ghosted,Negative,,,Rarely,More than 3,Depends,Yes,Somewhat,No,Seconds,No,No,Yes,Yes,Yes
2023-01-01,25-30,Male,No,Frequently,,1-6 months,Ghosting,Very negative,Prefer real connection over online dating,,Occasionally,2-3,Depends,No,Yes,Maybe,Seconds,No,No,No,Yes,Yes
2023-01-01,25-30,Male,No,,I don't know yet,more than 1 year,Both,Positive,,No,Rarely,More than 3,Public,No,No,No,Seconds,No,Yes,Yes,Neutral,No
2023-01-01,30-40,Male,No,Rarely,Short-term or casual relationship,,,Positive,,No,Occasionally,1,Private,Yes,Yes,No,Minutes,No,No,Yes,Neutral,Yes
2023-01-01,40-50,Female,No,Rarely,I don't know yet,1-6 months,Ghosting,,Have been in a relationship since I was a minor,No,Occasionally,2-3,Public,No,No,No,Seconds,Yes,No,Yes,No,Yes
2023-01-01,30-40,Female,No,Rarely,,1-6 months,Being ghosted,,Not interested,No,Frequently,1,Public,Yes,Yes,Maybe,Minutes,Yes,Yes,No,Neutral,No
2023-01-01,25-30,Male,Yes,,Long-term relationship,1-6 months,Both,Very negative,Have been in a relationship since I was a minor,,Occasionally,2-3,Public,No,Yes,Maybe,Seconds,No,No,Yes,Yes,Yes
2023-01-01,40-50,Female,Yes,Rarely,,1-6 months,Ghosting,,Prefer real connection over online dating,No,Frequently,More than 3,Private,No,Somewhat,Maybe,Minutes,Yes,Yes,Yes,No,Yes
2023-01-01,40-50,Male,Yes,,I don't know yet,more than 1 year,Neither,,,No,Frequently,2-3,Private,Yes,No,Yes,Seconds,No,No,Yes,No,No
2023-01-01,25-30,Female,No,Occasionally,I don't know yet,1-6 months,Neither,Very negative,,No,Frequently,More than 3,Private,No,Yes,Yes,Seconds,Yes,No,No,Yes,No
2023-01-01,40-50,Female,No,,Long-term relationship,,Ghosting,,,No,Occasionally,1,Private,Yes,Somewhat,Maybe,Seconds,No,Yes,No,Neutral,Yes
2023-01-01,25-30,Male,No,,Long-term relationship,,Being ghosted,,,No,Rarely,More than 3,Private,No,Somewhat,No,Minutes,Yes,Yes,No,Neutral,Yes
2023-01-01,40-50,Male,No,,Short-term or casual relationship,,,,Prefer real connection over online dating,,Frequently,More than 3,Depends,Yes,No,Maybe,Minutes,No,Yes,Yes,Neutral,Yes
2023-01-01,25-30,Female,Yes,Rarely,Long-term relationship,1-6 months,,Negative,,,Frequently,More than 3,Depends,Yes,No,Yes,Seconds,No,Yes,No,Yes,Yes
2023-01-01,30-40,Male,Yes,Rarely,,,,,,No,Occasionally,2-3,Private,Yes,No,Yes,Minutes,Yes,No,Yes,Yes,No
2023-01-01,25-30,Male,Yes,,Long-term relationship,,Neither,Negative,,No,Rarely,More than 3,Private,No,No,Maybe,Seconds,No,Yes,No,Neutral,No
2023-01-01,40-50,Male,Yes,Rarely,Long-term relationship,more than 1 year,Both,Very negative,Prefer real connection over online dating,No,Occasionally,More than 3,Private,No,Yes,Yes,Seconds,No,Yes,No,Yes,Yes
2023-01-01,40-50,Male,Yes,Occasionally,,more than 1 year,Both,,,,Rarely,2-3,Public,No,Yes,Maybe,Minutes,No,No,Yes,Yes,Yes
2023-01-01,40-50,Male,No,,Long-term relationship,1-6 months,Both,Very negative,Have been in a relationship since I was a minor,No,Occasionally,More than 3,Public,No,Somewhat,Maybe,Minutes,No,No,Yes,Neutral,No
2023-01-01,40-50,Female,Yes,Rarely,Short-term or casual relationship,more than 1 year,Both,Very negative,,,Rarely,1,Depends,Yes,Somewhat,Maybe,Seconds,No,No,Yes,Yes,No
2023-01-01,25-30,Female,No,Rarely,,,Being ghosted,Negative,Prefer real connection over online dating,No,Occasionally,More than 3,Public,No,Somewhat,Maybe,Seconds,No,No,No,Neutral,Yes
2023-01-01,30-40,Female,Yes,,I don't know yet,more than 1 year,,Very negative,Prefer real connection over online dating,No,Rarely,More than 3,Depends,No,No,Maybe,Minutes,No,No,Yes,Yes,Yes
2023-01-01,30-40,Female,No,,Short-term or casual relationship,more than 1 year,,Negative,,No,Frequently,2-3,Private,Yes,Yes,Yes,Minutes,Yes,Yes,No,Yes,No
2023-01-01,30-40,Female,No,,I don't know yet,,Being ghosted,Negative,Have been in a relationship since I was a minor,,Frequently,More than 3,Private,Yes,No,Yes,Minutes,Yes,Yes,Yes,Neutral,No
2023-01-01,30-40,Female,Yes,,,,,,,,Frequently,2-3,Public,No,No,Maybe,Seconds,Yes,Yes,No,No,Yes
2023-01-01,25-30,Female,Yes,,,,Being ghosted,Negative,,No,Frequently,2-3,Public,Yes,Somewhat,No,Seconds,No,No,Yes,No,No
2023-01-01,40-50,Female,No,Rarely,,1-6 months,,Negative,,No,Frequently,1,Private,Yes,Yes,Yes,Seconds,No,No,No,No,Yes
2023-01-01,40-50,Male,No,Occasionally,,,Both,Negative,Prefer real connection over online dating,No,Occasionally,More than 3,Public,No,Somewhat,No,Minutes,No,Yes,Yes,No,Yes
2023-01-01,40-50,Female,Yes,,Long-term relationship,,,Very negative,Prefer real connection over online dating,,Frequently,2-3,Private,No,No,Yes,Minutes,Yes,Yes,Yes,Neutral,No
2023-01-01,40-50,Female,Yes,Rarely,,more than 1 year,Ghosting,Negative,,No,Rarely,More than 3,Public,Yes,Somewhat,No,Minutes,No,No,Yes,Yes,No
2023-01-01,30-40,Male,No,,Long-term relationship,more than 1 year,Neither,,,,Frequently,2-3,Private,No,Somewhat,Yes,Seconds,Yes,Yes,Yes,Yes,Yes
2023-01-01,40-50,Female,No,Rarely,I don't know yet,1-6 months,Being ghosted,Very negative,,No,Rarely,2-3,Private,Yes,No,Maybe,Minutes,No,No,Yes,No,No
2023-01-01,40-50,Male,Yes,Occasionally,Short-term or casual relationship,more than 1 year,Both,Positive,Have been in a relationship since I was a minor,No,Frequently,1,Public,No,Somewhat,Maybe,Seconds,No,Yes,No,Yes,Yes
2023-01-01,40-50,Male,No,Rarely,Short-term or casual relationship,more than 1 year,Both,Very negative,,No,Frequently,1,Private,Yes,Somewhat,No,Seconds,No,Yes,Yes,Yes,Yes
2023-01-01,25-30,Male,Yes,Occasionally,Long-term relationship,more than 1 year,Being ghosted,,Have been in a relationship since I was a minor,,Occasionally,1,Depends,Yes,No,No,Seconds,No,Yes,Yes,Neutral,Yes
2023-01-01,25-30,Female,Yes,Rarely,I don't know yet,1-6 months,Ghosting,Positive,,No,Frequently,2-3,Private,No,Somewhat,No,Minutes,Yes,No,No,No,Yes
2023-01-01,30-40,Female,Yes,,Long-term relationship,,Both,Negative,Prefer real connection over online dating,,Occasionally,1,Public,No,Yes,No,Seconds,No,Yes,Yes,Neutral,No
2023-01-01,30-40,Female,No,,Long-term relationship,more than 1 year,,Negative,Not interested,No,Occasionally,1,Private,No,Somewhat,No,Minutes,Yes,Yes,Yes,Neutral,No
2023-01-01,40-50,Female,Yes,Frequently,Short-term or casual relationship,1-6 months,,Very negative,,No,Rarely,More than 3,Private,No,Somewhat,No,Minutes,Yes,No,No,Neutral,Yes
2023-01-01,40-50,Male,No,Rarely,,1-6 months,Both,Positive,Prefer real connection over online dating,No,Occasionally,2-3,Public,No,Somewhat,Yes,Seconds,Yes,Yes,No,Neutral,Yes
2023-01-01,40-50,Male,No,Rarely,Short-term or casual relationship,,,Negative,,,Occasionally,More than 3,Private,No,Somewhat,Yes,Minutes,Yes,No,Yes,Yes,Yes
2023-01-01,40-50,Male,Yes,Rarely,,more than 1 year,Being ghosted,Negative,,No,Rarely,More than 3,Private,Yes,No,Maybe,Minutes,No,Yes,Yes,Yes,Yes
2023-01-01,30-40,Female,Yes,Occasionally,Long-term relationship,1-6 months,Both,Very negative,Prefer real connection over online dating,No,Frequently,More than 3,Private,No,Somewhat,Yes,Seconds,Yes,No,No,Neutral,Yes
2023-01-01,40-50,Male,No,Occasionally,I don't know yet,,Being ghosted,,Have been in a relationship since I was a minor,,Occasionally,2-3,Private,No,No,No,Minutes,No,No,No,Yes,No
2023-01-01,30-40,Female,Yes,Rarely,I don't know yet,1-6 months,Ghosting,Positive,Prefer real connection over online dating,,Frequently,1,Private,Yes,No,Maybe,Minutes,No,Yes,Yes,Neutral,Yes
2023-01-01,25-30,Female,No,,Short-term or casual relationship,,Neither,,,,Rarely,1,Private,Yes,Somewhat,Maybe,Minutes,No,No,No,Neutral,Yes
2023-01-01,40-50,Male,Yes,Frequently,Long-term relationship,more than 1 year,,Positive,Not interested,No,Occasionally,More than 3,Private,Yes,Somewhat,No,Seconds,Yes,No,No,Yes,Yes
2023-01-01,40-50,Male,Yes,Rarely,Short-term or casual relationship,1-6 months,Both,Negative,,,Occasionally,1,Public,No,No,No,Minutes,No,No,Yes,Yes,Yes
2023-01-01,25-30,Female,No,Occasionally,I don't know yet,,,Positive,,,Frequently,2-3,Private,Yes,Somewhat,Maybe,Minutes,No,Yes,No,Neutral,No
